,index,ID,Age,Age_group,Education,Children,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Expenses,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumAllPurchases,NumStorePurchases,NumWebVisitsMonth
0,0,5524,57,Gen X,Undergraduate,0,Single,58138.0,2012-04-09,58.0,635.0,88.0,546.0,172.0,88.0,88.0,1617.0,3.0,8.0,10.0,22.0,4.0,7.0
1,1,2174,60,Boomers,Undergraduate,2,Single,46344.0,2014-08-03,38.0,11.0,1.0,6.0,2.0,1.0,6.0,27.0,2.0,1.0,1.0,4.0,2.0,5.0
2,2,4141,49,Gen X,Undergraduate,0,Married,71613.0,2013-08-21,26.0,426.0,49.0,127.0,111.0,21.0,42.0,776.0,1.0,8.0,2.0,20.0,10.0,4.0
3,3,6182,30,Millenials,Undergraduate,1,Married,26646.0,2014-10-02,26.0,11.0,4.0,20.0,10.0,3.0,5.0,53.0,2.0,2.0,0.0,6.0,4.0,6.0
4,4,5324,33,Millenials,Postgraduate,1,Married,58293.0,2014-01-19,94.0,173.0,43.0,118.0,46.0,27.0,15.0,422.0,5.0,5.0,3.0,14.0,6.0,5.0
5,5,7446,47,Gen X,Postgraduate,1,Married,62513.0,2013-09-09,16.0,520.0,42.0,98.0,0.0,42.0,14.0,716.0,2.0,6.0,4.0,20.0,10.0,6.0
6,6,965,43,Gen X,Undergraduate,1,Divorced,55635.0,2012-11-13,34.0,235.0,65.0,164.0,50.0,49.0,27.0,590.0,4.0,7.0,3.0,17.0,7.0,6.0
7,7,6177,29,Millenials,Postgraduate,1,Married,33454.0,2013-08-05,32.0,76.0,10.0,56.0,3.0,1.0,23.0,169.0,2.0,4.0,0.0,8.0,4.0,8.0
8,8,4855,40,Millenials,Postgraduate,1,Married,30351.0,2013-06-06,19.0,14.0,0.0,24.0,3.0,3.0,2.0,46.0,1.0,3.0,0.0,5.0,2.0,9.0
9,10,1994,31,Millenials,Undergraduate,1,Married,50286.0,2013-11-15,11.0,5.0,5.0,6.0,0.0,2.0,1.0,19.0,1.0,1.0,0.0,3.0,2.0,7.0
10,12,2125,55,Gen X,Undergraduate,0,Divorced,63033.0,2013-11-15,82.0,194.0,61.0,480.0,225.0,112.0,30.0,1102.0,1.0,3.0,4.0,15.0,8.0,2.0
11,13,8180,62,Boomers,Postgraduate,2,Divorced,59354.0,2013-11-15,53.0,233.0,2.0,53.0,3.0,5.0,14.0,310.0,3.0,6.0,1.0,12.0,5.0,6.0
12,14,2569,27,Millenials,Undergraduate,0,Married,17323.0,2012-10-10,38.0,3.0,14.0,17.0,6.0,1.0,5.0,46.0,1.0,1.0,0.0,4.0,3.0,8.0
13,15,2114,68,Boomers,Postgraduate,0,Single,82800.0,2012-11-24,23.0,1006.0,22.0,115.0,59.0,68.0,45.0,1315.0,1.0,7.0,6.0,25.0,12.0,3.0
14,16,9736,34,Millenials,Undergraduate,2,Married,41850.0,2012-12-24,51.0,53.0,5.0,19.0,2.0,13.0,4.0,96.0,3.0,3.0,0.0,6.0,3.0,8.0
15,17,4939,68,Boomers,Undergraduate,0,Married,37760.0,2012-08-31,20.0,84.0,5.0,38.0,150.0,12.0,28.0,317.0,2.0,4.0,1.0,11.0,6.0,7.0
16,18,6565,65,Boomers,Postgraduate,1,Married,76995.0,2013-03-28,91.0,1012.0,80.0,498.0,0.0,16.0,176.0,1782.0,2.0,11.0,4.0,24.0,9.0,5.0
17,19,2278,29,Millenials,Postgraduate,1,Single,33812.0,2012-03-11,86.0,4.0,17.0,19.0,30.0,24.0,39.0,133.0,2.0,2.0,1.0,6.0,3.0,6.0
18,20,9360,32,Millenials,Undergraduate,0,Married,37040.0,2012-08-08,41.0,86.0,2.0,73.0,69.0,38.0,48.0,316.0,1.0,4.0,2.0,11.0,5.0,8.0
19,22,1993,65,Boomers,Postgraduate,1,Married,58607.0,2012-12-23,63.0,867.0,0.0,86.0,0.0,0.0,19.0,972.0,3.0,2.0,3.0,14.0,9.0,8.0
20,23,4047,60,Boomers,Postgraduate,1,Married,65324.0,2014-11-01,0.0,384.0,0.0,102.0,21.0,32.0,5.0,544.0,3.0,6.0,2.0,17.0,9.0,4.0
21,24,1409,63,Boomers,Undergraduate,1,Married,40689.0,2013-03-18,69.0,270.0,3.0,27.0,39.0,6.0,99.0,444.0,7.0,7.0,1.0,13.0,5.0,8.0
22,25,7892,45,Gen X,Undergraduate,0,Single,18589.0,2013-02-01,89.0,6.0,4.0,25.0,15.0,12.0,13.0,75.0,2.0,2.0,1.0,6.0,3.0,7.0
23,26,2404,38,Millenials,Undergraduate,2,Married,53359.0,2013-05-27,4.0,173.0,4.0,30.0,3.0,6.0,41.0,257.0,4.0,5.0,1.0,10.0,4.0,7.0
24,27,5255,28,Millenials,Undergraduate,1,Single,47415.0,2013-02-20,19.0,5.0,1.0,3.0,3.0,263.0,362.0,637.0,0.0,27.0,0.0,27.0,0.0,1.0
25,28,9422,25,Gen Z,Undergraduate,1,Married,38360.0,2013-05-31,26.0,36.0,2.0,42.0,20.0,21.0,10.0,131.0,2.0,2.0,1.0,7.0,4.0,3.0
26,29,1966,49,Gen X,Postgraduate,0,Married,84618.0,2013-11-22,96.0,684.0,100.0,801.0,21.0,66.0,0.0,1672.0,1.0,6.0,9.0,25.0,10.0,2.0
27,31,3033,51,Gen X,Postgraduate,0,Married,38620.0,2013-11-05,56.0,112.0,17.0,44.0,34.0,22.0,89.0,318.0,1.0,2.0,5.0,10.0,3.0,3.0
28,32,5710,44,Gen X,Undergraduate,1,Married,40548.0,2012-10-10,31.0,110.0,0.0,5.0,2.0,0.0,3.0,120.0,2.0,2.0,1.0,7.0,4.0,5.0
